phone,email,firstname,lastname
+45 45 45 45 45,12/04/2024,John,Doe
+45 45 45 45 45,jane.smith@example.com,Jane,Smithing
+45 45 45 45 45,john123.doe@example.com,John,Doe
+45 45 45 45 45,kacper.pole@example.com,Kacper,Pole
+45 45 45 45 45,amanda.h@example.com,Amanda,Hernandez
+45 45 45 45 45,james.bond@example.com,James,Bond
+45 45 45 45 45,lisa.smith@example.com,Lisa,Smith
+45 45 45 45 45,michael.jackson@example.com,Michael,Jackson
+45 45 45 45 45,natalie.portman@example.com,Natalie,Portman
+45 45 45 45 45,tom.hanks@example.com,Tom,Hanks
