email,firstname,lastname,phone
john.doe@example.com,John,Doe,+456739828485823
jane.smith@example.com,Jane,Smithing,+4567392848582
john123.doe@example.com,John,Doe,+456739828858293
kacper.pole@example.com,Kacper,Pole,+456738284858293
amanda.h@example.com,Amanda,Hernandez,+457398284858293
james.bond@example.com,James,Bond,+45673984858293
lisa.smith@example.com,Lisa,Smith,+4567398858293
michael.jackson@example.com,Michael,Jackson,+4563284858293
natalie.portman@example.com,Natalie,Portman,+4567984858293
tom.hanks@example.com,Tom,Hanks,+456739828485
